Latitude (°N),Longitude (°E)
46.25784159,10.6967403
46.34400872,9.993780488
46.77234149,10.82570192
46.41273959,11.84858634
46.14438316,10.54907985
46.44885185,10.50036642
46.50425595,10.77548032
46.77769481,10.6720426
45.982049,7.898313234
45.49497773,7.253648015
46.51667538,10.55135612
46.63824065,12.38269976
46.39193867,10.43442062
46.10712446,10.58968746
46.63279453,12.39286687
46.13040268,10.58526491
46.15054834,10.87173401
45.23353022,7.139485245
45.67374735,7.029442589
45.54872225,7.279731393
46.1927391,10.90149006
46.29156718,9.692128146
46.2422529,9.542079001
46.32905471,8.227728064
45.26187642,7.13368471
46.08975789,10.01699442
45.88155387,7.548508255
46.24133458,10.67554603
46.29698783,9.673077701
46.50421636,12.2791383
46.5104759,10.63322565
45.82296812,7.863795918
46.38412522,9.418057076
46.36438765,13.45464512
45.87318479,7.490906041
46.14116592,10.8477105
46.25515378,11.8751564
46.34923873,9.824531078
46.16667036,10.42531674
45.62784499,7.025882187
46.74087342,11.00971079
46.82353181,11.09774858
46.28646207,9.726412442
46.23313152,10.67656625
46.48338733,10.62674725
46.73728522,11.0360675
46.45817717,10.12982263
46.42539909,10.29688132
46.11953707,10.58616134
45.81570718,6.806541885
46.09661402,8.040129255
45.51526954,7.303085008
45.47700355,7.073530904
45.52078127,7.056827565
45.62837655,7.01188712
46.14245306,10.8553298
45.51261137,7.321846258
46.2875119,9.615877227
46.16919052,10.89787029
45.34718632,7.137511439
46.08891028,10.03103165
46.09444977,10.09535623
46.96387509,11.74640596
46.2440154,9.547712823
46.3869648,10.17330851
45.51686415,7.306014551
46.76078071,10.90148506
46.14550252,10.48843859
47.04701984,11.97570466
46.29814588,9.679798151
45.73397391,6.858647521
46.39278265,10.6256713
46.3622436,13.44267317
44.67099059,7.07821658
46.63333382,12.38522525
46.23944744,10.73147122
45.87805502,7.553520542
46.44092175,10.59419365
47.04373263,12.21079614
46.34639226,10.51934883
46.39280259,10.29624271
45.89175697,7.249854786
45.61621065,7.101000103
46.37643372,12.04574246
46.44575413,10.1498608
46.50605299,12.33633012
46.15907585,10.49160782
45.20829594,7.075348818
46.44691491,10.59515625
46.76764391,10.91183762
46.71258927,10.97713852
46.92233188,11.20232143
45.65594046,6.964983687
46.4752725,10.77732085
46.93780408,11.21426019
46.97050142,11.76285872
46.13742,10.54558857
46.30394473,9.720633542
45.57080436,7.080072008
45.57849961,7.523820774
45.5041799,7.003094576
46.28364079,9.627093937
45.62536944,6.998437509
45.51191749,7.379707393
46.4025498,10.27477815
46.38955781,10.23413735
45.51805575,7.137351965
45.80887618,6.881615252
46.09098342,10.03604362
46.26121265,9.746776751
46.47785236,10.73234372
46.31885064,10.44295839
46.33542608,9.781030131
